Category,Issue_Count,Avg_Anger_Score
General/Other,49230,0.15887513711151735
Battery/Power,20061,0.11254249538906336
Screen/Display,10386,0.10600298478721357
Connectivity,7055,0.09492402551381998
Performance/UI,3152,0.11781979695431471
Audio/Mic,2979,0.12760557233971132
